Other Significant Condition,count
Schizoaffective disorder; mood disorder(s),1
Anxiety; per report,1
Reported history of bipolar disorder,1
,1
Depressive disorder; unspecified,1
Depression disorder; anxiety,1
Bipolar disorder; panic disorder,1
Bipolar disorder (unspecified type); multiple life stressors; family history of mental illness,1
Anxiety disorder and adjustment disorder with depressed mood following the VTA rail maintenance yard mass fatality incident,1
Huntington disease; depression with prior suicide attempts; post-traumatic stress disorder; anxiety disorder,1
Anxiety; depression; post-traumatic stress disorder; insomnia,1
Major depressive disorder; severe; recurrent; with suicidal ideation and priorsuicide attempts; Generalized anxiety disorder; Bipolar disorder,1
Attention deficit/Hyperactivity disorder; legal stress (criminal),1
Bipolar 1 disorder; self-reported history of depression; attention deficit hyperactivity disorder,1
Depression; prior suicidal ideation/attempt(s),1
Hypertensive cardiovascular disease; sleep apnea; class 1 obesity,1
Incised wounds of wrist and neck; schizoaffective disorder,1
Recurrent severe major depressive disorder with psychotic features; recent suicide ideation,1
Clinically diagnosed mood disorder,1
Severe ethanol use disorder; depression; generalized anxiety disorder; essential hypertension; atherosclerotic cardiovascular disease,1
Atherosclerotic cardiovascular disease; class 1 obesity; history of suicidal ideations,1
Bipolar disorder; obesity,1
Schizophrenia; prior suicide attempt(s),1
Acute myeloid leukemia; generalized anxiety disorder; panic disorder; atherosclerotic cardiovascular disease; obesity; obstructive sleep apnea,1
Schizoaffective disorder; multiple suicide attempts,1
Anxiety; major depressive disorder; insomnia,1
Combined Zolpidem; ethanol and diphenhydramine toxicity,1
Bipolar 1 Disorder with Recent DepressedEpisode,1
Paranoid schizophrenia,1
Chronic pain; major depressive disorder; schizoaffective disorder; bipolar type; asthma; class 2 obesity,1
Alcohol and substance dependence; multiple stressors to include financial stress; unspecified mental illness,1
Left ventricular hypertrophy,1
Methamphetamine toxicity; Bipolar disorder with multiple psychiatric holds,1
Anxiety disorder; depression; previous suicide attempt,1
Reported probable borderline personality disorder,1
Severe major depressive disorder with anxious distress,1
Class 1 obesity; reported chronic ethanol use; clinically diagnosed major depressive disorder,1
Self-reported history of prior suicide attempt (per suicide note),1
Depression with prior suicide attempts; bipolar 1 disorder. methamphetamine use disorder,1
Anxiety disorder; history of depression and recent suicidal ideation,1
Obesity; depressive type schizoaffective disorder,1
Major depressive disorder; postpartum onset with psychotic features; suicidal behavior with attempted self injury,1
Prior suicide attempts and suicidal ideation; adjustment disorder with mixed anxiety and depressed mood,1
Multiple reported acute stressors; reported suicidal ideations,1
Major depressive disorder with recent suicide ideation; adjustment disorder with mixed anxiety and depressed mood,1
Reported history of attention deficit hyperactivity disorder,1
Coronary artery disease,1
Major depressive disorder; conversion disorder,1
Anxiety and major depression,1
History of depression; anxiety,1
Anxiety and depression,1
Paranoid schizophrenia; hypertensive cardiovascular disease; class 3 obesity,1
Bipolar I disorder with depression,1
Clinically diagnosed depression; anxiety; and history of postpartum depression with prior suicide attempt by hanging in 2020,1
History of bipolar disorder,1
Bipolar I psychiatric disorder and multiple prior suicide attempts,1
Severe major depressive disorder with suicidal ideation; methamphetamine and ethanol toxicity,1
Major depressive disorder; Bipolar 1 disorder,1
Generalized anxiety disorder; severe alcohol use disorder; adjustment disorder with depressed mood,1
Incised wounds of wrists; major depressive disorder with psychotic features; gender dysphoria; hypertension,1
History of postpartum depression,1
Chronic ethanol use with hepatic cirrhosis,1
Depression; recent motor vehicle accident with no injury,1
Type 1 Bipolar Disorder; Major Depressive Disorder,1
Depressed mood; suicidal ideation in the setting of recent bereavement; hypertensive and atherosclerotic cardiovascular disease and class 1 obesity,1
Schizoaffective disorder; reported history of previous suicide attempts,1
Ethanol and polysubstance use disorder; major depressive disorder with prior suicidal ideation; anxiety hypertension; class 1 obesity,1
Adjustment disorder with prior suicidal ideations; alcohol use disorder,1
Anxiety and adjustment disorder with history of suicidal ideation,1
Depression and prior suicidal ideation,1
Anxiety,1
Psychiatric disorder,1
Sharp force injury of abdomen (per report),1
Dilated cardiomyopathy; probable psychosis in the setting of stimulant use,1
Depression with anxiety,1
Schizophrenia; reported previous suicide attempts,1
Prior pontine stroke due to hypertension and methamphetamine use with residual right-sided hemiparesis,1
Psychotic disorder not otherwise specified; Depression,1
Schizophrenia and stimulant use disorder with prior suicide attempts,1
Depression disorder and unspecified psychotic disorder,1
Alcohol use disorder,1
Depression (unspecified),1
Suicidal ideation,1
Bipolar disorder with history of suicidal ideation(s),1
Bipolar affective disorder; prior psychosis; anxiety disorder,1
Adjustment disorder with mixed disturbance of emotions and conduct; depressive  disorder,1
Major depressive disorder; recent suicidal ideations; recent suicide attempt (08/02/2022); work stress,1
Mixed prescription drug intoxication (ethanol; acetaminophen; clonazepam; hydrocodone; doxepin; diphenhydramine; and cyclobenzaprine),1
Major depressive disorder with suicidal ideation; Bipolar disorder; Generalized Anxiety disorder,1
Reported history of recent suicidal ideation,1
Schizophrenia; coronary artery disease; class 3 obesity,1
Depression; bipolar disorder,1
Attention-deficit/hyperactivity disorder; major depressive disorder; moderate polysubstance use disorder,1
Major depressive disorder with prior suicidal ideation; generalized anxiety disorder; post-traumatic stress disorder,1
Major depressive disorder; generalized anxiety disorder; adjustment disorder with disturbance of conduct,1
Depression and anxiety with prior suicidal ideation,1
Posttraumatic stress disorder with suicidal ideation,1
Adjustment disorder with mixed disturbance of emotions and conduct; history of attempted suicide,1
Substance induced mood disorder with recent self-inflicted stab wounds of chest,1
Acute ethanol intoxication,1
Bipolar 2 disorder with depressed episode,1
Major depressive disorder; anxiety disorder,1
Bipolar with psychotic features; prior episodes of suicidal ideation,1
Hypertensive cardiovascular disease; severe obesity; multiple reported stressors to include financial stress,1
Anxiety; Depression,1
Recent suicidal ideation; adjustment disorder with mixed disturbance of emotions and conduct; Autism spectrum disorder,1
Unspecified psychotic disorder; cocaine use disorder; history of huffing,1
Neuropsychiatric disorders,1
Superficial perforating gunshot wound of the scrotum,1
Adjustment disorder with disturbance of conduct,1
Recurrent severe major depressive disorder with history of suicidal ideation and prior suicide attempt,1
Neuropsychiatric disorders with recent suicide attempts/ideations,1
Anxiety disorder; depressive disorder; attention-deficit/hyperactivity disorder,1
History of suicide attempts; Schizoaffective disorder (depressive type); panic disorder; class 2 obesity,1
Reported depressionwith prior verbalization of wanting to take own life,1
Neuropsychiatric disorder with previous suicide attempts,1
Persistent depressive disorder with intermittent major depressive episodes,1
Severe bipolar disorder with psychotic features,1
Depression; suicidal ideations; anxiety,1
Bipolar II disorder; prior history of suicide attempt,1
Suicidal ideations; acute mental health crisis,1
Anxiety disorder; major depressive disorder,1
Depression with history of suicidal ideation and suicide attempts,1
Bipolar disorder type II complicated by suicidal ideation,1
Autism spectrum disorder,1
Reported history of anxiety/depression,1
Depression; per report,1
Depression; attention deficit/hyperactivity disorder,1
Schizophrenia; major depressive disorder; generalized anxiety disorder,1
Mood disorder with suicidal ideation,1
Fentanyl toxicity,1
Depression and anxiety; prior reported suicide attempts,1
Self-reported abuse at home (suicide note),1
Major depressive disorder with psychotic features; generalized anxiety disorder; schizoaffective disorder bipolar type,1
Generalized and social anxiety disorder; depressive disorder,1
Major depressive disorder with prior suicidal ideation; unspecified anxiety disorder,1
Mild depression with social adjustment problems,1
Major depressive disorder; recurrent severe; with prior suicide attempt(s) and suicidal ideation,1
Attention-Deficit/Hyperactivity Disorder,1
History of self-injurious behavior,1
Metastatic small cell carcinoma to include tension hydrothorax,1
